brand_id,name_en,name_zh,domain,industry,country_region,fame_level,similar_group,has_pure_symbol,symbol_review_status,logo_review_status,selected_logo_type,selected_logo_file,selected_logo_size_bytes,preferred_source,notes
wechat,WeChat,微信,wechat.com,文化媒体,中国,5,social_china,true,pending,missing,,assets/logos/wechat.webp,0,brandfetch/svglogo,中国社交媒体组
qq,QQ,QQ,qq.com,文化媒体,中国,5,social_china,true,pending,missing,,assets/logos/qq.webp,0,brandfetch/svglogo,中国社交媒体组
douyin,Douyin,抖音,douyin.com,文化媒体,中国,5,social_china,true,pending,missing,,assets/logos/douyin.webp,0,brandfetch/svglogo,中国短视频平台组
xiaohongshu,Xiaohongshu,小红书,xiaohongshu.com,文化媒体,中国,5,social_china,true,pending,missing,,assets/logos/xiaohongshu.webp,0,brandfetch/svglogo,中国社交/生活方式平台组
whatsapp,WhatsApp,WhatsApp,whatsapp.com,文化媒体,美国,5,messaging_community,true,pending,missing,,assets/logos/whatsapp.webp,0,brandfetch,通讯社群组
telegram,Telegram,Telegram,telegram.org,文化媒体,阿联酋/国际,4,messaging_community,true,pending,missing,,assets/logos/telegram.webp,0,brandfetch,通讯社群组
line,LINE,LINE,line.me,文化媒体,日本,4,messaging_community,true,pending,missing,,assets/logos/line.webp,0,brandfetch,通讯社群组
discord,Discord,Discord,discord.com,文化媒体,美国,4,messaging_community,true,pending,missing,,assets/logos/discord.webp,0,brandfetch,通讯/社区平台组
youtube,YouTube,YouTube,youtube.com,文化媒体,美国,5,video_platforms,true,pending,missing,,assets/logos/youtube.webp,0,brandfetch,视频平台组
netflix,Netflix,Netflix,netflix.com,文化媒体,美国,5,video_platforms,true,pending,missing,,assets/logos/netflix.webp,0,brandfetch,视频/流媒体组，优先取 N icon
bilibili,Bilibili,哔哩哔哩,bilibili.com,文化媒体,中国,5,video_platforms,true,pending,missing,,assets/logos/bilibili.webp,0,brandfetch/svglogo,中国视频平台组
tencent_video,Tencent Video,腾讯视频,v.qq.com,文化媒体,中国,5,video_platforms,true,pending,missing,,assets/logos/tencent_video.webp,0,brandfetch/svglogo,中国视频平台组
playstation,PlayStation,PlayStation,playstation.com,文化媒体,日本,5,game_platforms,true,pending,missing,,assets/logos/playstation.webp,0,brandfetch,游戏平台组
xbox,Xbox,Xbox,xbox.com,文化媒体,美国,5,game_platforms,true,pending,missing,,assets/logos/xbox.webp,0,brandfetch,游戏平台组
steam,Steam,Steam,steampowered.com,文化媒体,美国,4,game_platforms,true,pending,missing,,assets/logos/steam.webp,0,brandfetch,游戏平台组
roblox,Roblox,Roblox,roblox.com,文化媒体,美国,4,game_platforms,true,pending,missing,,assets/logos/roblox.webp,0,brandfetch,游戏平台/UGC 组
jd,JD.com,京东,jd.com,生活消费,中国,5,ecommerce_china,true,pending,missing,,assets/logos/jd.webp,0,brandfetch/svglogo,中国电商组
tmall,Tmall,天猫,tmall.com,生活消费,中国,5,ecommerce_china,true,pending,missing,,assets/logos/tmall.webp,0,brandfetch/svglogo,中国电商组
pinduoduo,Pinduoduo,拼多多,pinduoduo.com,生活消费,中国,5,ecommerce_china,true,pending,missing,,assets/logos/pinduoduo.webp,0,brandfetch/svglogo,中国电商组
meituan,Meituan,美团,meituan.com,生活消费,中国,5,ecommerce_china,true,pending,missing,,assets/logos/meituan.webp,0,brandfetch/svglogo,中国本地生活组
mastercard,Mastercard,万事达卡,mastercard.com,金融商业,美国,5,payment_wallets,true,pending,missing,,assets/logos/mastercard.webp,0,brandfetch,支付/银行卡组
paypal,PayPal,PayPal,paypal.com,金融商业,美国,5,payment_wallets,true,pending,missing,,assets/logos/paypal.webp,0,brandfetch,支付钱包组
alipay,Alipay,支付宝,alipay.com,金融商业,中国,5,payment_wallets,true,pending,missing,,assets/logos/alipay.webp,0,brandfetch/svglogo,中国支付钱包组
wechat_pay,WeChat Pay,微信支付,pay.weixin.qq.com,金融商业,中国,5,payment_wallets,true,pending,missing,,assets/logos/wechat_pay.webp,0,brandfetch/svglogo,中国支付钱包组
bank_of_china,Bank of China,中国银行,boc.cn,金融商业,中国,5,bank_china,true,pending,missing,,assets/logos/bank_of_china.webp,0,brandfetch/svglogo,中国银行组
icbc,ICBC,中国工商银行,icbc.com.cn,金融商业,中国,5,bank_china,true,pending,missing,,assets/logos/icbc.webp,0,brandfetch/svglogo,中国银行组
china_construction_bank,China Construction Bank,中国建设银行,ccb.com,金融商业,中国,5,bank_china,true,pending,missing,,assets/logos/china_construction_bank.webp,0,brandfetch/svglogo,中国银行组
agricultural_bank_of_china,Agricultural Bank of China,中国农业银行,abchina.com,金融商业,中国,5,bank_china,true,pending,missing,,assets/logos/agricultural_bank_of_china.webp,0,brandfetch/svglogo,中国银行组
hsbc,HSBC,汇丰银行,hsbc.com,金融商业,英国,5,bank_global,true,pending,missing,,assets/logos/hsbc.webp,0,brandfetch,国际银行组
citibank,Citibank,花旗银行,citi.com,金融商业,美国,4,bank_global,true,pending,missing,,assets/logos/citibank.webp,0,brandfetch,国际银行组
chase,Chase,大通银行,chase.com,金融商业,美国,4,bank_global,true,pending,missing,,assets/logos/chase.webp,0,brandfetch,国际银行组
deutsche_bank,Deutsche Bank,德意志银行,db.com,金融商业,德国,4,bank_global,true,pending,missing,,assets/logos/deutsche_bank.webp,0,brandfetch,国际银行组
chanel,Chanel,香奈儿,chanel.com,服装时尚,法国,5,luxury_fashion,true,pending,missing,,assets/logos/chanel.webp,0,brandfetch,奢侈品牌组
gucci,Gucci,古驰,gucci.com,服装时尚,意大利,5,luxury_fashion,true,pending,missing,,assets/logos/gucci.webp,0,brandfetch,奢侈品牌组
louis_vuitton,Louis Vuitton,路易威登,louisvuitton.com,服装时尚,法国,5,luxury_fashion,true,pending,missing,,assets/logos/louis_vuitton.webp,0,brandfetch,奢侈品牌组，LV 字母符号仍可用于辨识
hermes,Hermès,爱马仕,hermes.com,服装时尚,法国,5,luxury_fashion,true,pending,missing,,assets/logos/hermes.webp,0,brandfetch,奢侈品牌组
air_china,Air China,中国国际航空,airchina.com,汽车交通,中国,5,airline_china,true,pending,missing,,assets/logos/air_china.webp,0,brandfetch/svglogo,中国航空公司组
china_southern_airlines,China Southern Airlines,中国南方航空,csair.com,汽车交通,中国,5,airline_china,true,pending,missing,,assets/logos/china_southern_airlines.webp,0,brandfetch/svglogo,中国航空公司组
china_eastern_airlines,China Eastern Airlines,中国东方航空,ceair.com,汽车交通,中国,5,airline_china,true,pending,missing,,assets/logos/china_eastern_airlines.webp,0,brandfetch/svglogo,中国航空公司组
hainan_airlines,Hainan Airlines,海南航空,hainanairlines.com,汽车交通,中国,4,airline_china,true,pending,missing,,assets/logos/hainan_airlines.webp,0,brandfetch/svglogo,中国航空公司组
emirates,Emirates,阿联酋航空,emirates.com,汽车交通,阿联酋,5,airline_global,true,pending,missing,,assets/logos/emirates.webp,0,brandfetch,国际航空公司组
qatar_airways,Qatar Airways,卡塔尔航空,qatarairways.com,汽车交通,卡塔尔,5,airline_global,true,pending,missing,,assets/logos/qatar_airways.webp,0,brandfetch,国际航空公司组
singapore_airlines,Singapore Airlines,新加坡航空,singaporeair.com,汽车交通,新加坡,5,airline_global,true,pending,missing,,assets/logos/singapore_airlines.webp,0,brandfetch,国际航空公司组
delta_air_lines,Delta Air Lines,达美航空,delta.com,汽车交通,美国,4,airline_global,true,pending,missing,,assets/logos/delta_air_lines.webp,0,brandfetch,国际航空公司组
united_nations,United Nations,联合国,un.org,公共机构/教育,国际组织,5,public_orgs,true,pending,missing,,assets/logos/united_nations.webp,0,brandfetch,公共机构组
world_health_organization,World Health Organization,世界卫生组织,who.int,公共机构/教育,国际组织,5,public_orgs,true,pending,missing,,assets/logos/world_health_organization.webp,0,brandfetch,公共机构组
olympics,Olympics,奥林匹克,olympics.com,公共机构/教育,国际组织,5,public_orgs,true,pending,missing,,assets/logos/olympics.webp,0,brandfetch,公共/体育组织组
red_cross,Red Cross,红十字会,redcross.org,公共机构/教育,国际组织,5,public_orgs,true,pending,missing,,assets/logos/red_cross.webp,0,brandfetch,公共机构组
tsinghua_university,Tsinghua University,清华大学,tsinghua.edu.cn,公共机构/教育,中国,5,education_china,unknown,pending,missing,,assets/logos/tsinghua_university.webp,0,svglogo/official,高校组，校徽复杂，需确认是否适合题库
peking_university,Peking University,北京大学,pku.edu.cn,公共机构/教育,中国,5,education_china,unknown,pending,missing,,assets/logos/peking_university.webp,0,svglogo/official,高校组，校徽复杂，需确认是否适合题库
fudan_university,Fudan University,复旦大学,fudan.edu.cn,公共机构/教育,中国,4,education_china,unknown,pending,missing,,assets/logos/fudan_university.webp,0,svglogo/official,高校组，校徽复杂，需确认是否适合题库
zhejiang_university,Zhejiang University,浙江大学,zju.edu.cn,公共机构/教育,中国,4,education_china,unknown,pending,missing,,assets/logos/zhejiang_university.webp,0,svglogo/official,高校组，校徽复杂，需确认是否适合题库
