brand_id,name_en,name_zh,domain,industry,country_region,fame_level,similar_group,has_pure_symbol,symbol_review_status,include_mvp,preferred_source,notes,resolved_domain,domain_source,search_top_domain,domain_matches_existing,search_http_status,search_status
gucci,Gucci,古驰,gucci.com,服装时尚,意大利,5,luxury_fashion,true,pending,true,brandfetch,奢侈品牌组,gucci.com,seed,gucci.com,true,200,ok
louis_vuitton,Louis Vuitton,路易威登,louisvuitton.com,服装时尚,法国,5,luxury_fashion,true,pending,true,brandfetch,奢侈品牌组，LV 字母符号仍可用于辨识,louisvuitton.com,seed,louisvuitton.com,true,200,ok
hermes,Hermès,爱马仕,hermes.com,服装时尚,法国,5,luxury_fashion,true,pending,true,brandfetch,奢侈品牌组,hermes.com,seed,hermes.com,true,200,ok
air_china,Air China,中国国际航空,airchina.com,汽车交通,中国,5,airline_china,true,pending,true,brandfetch/svglogo,中国航空公司组,airchina.com,seed,airchina.com,true,200,ok
china_southern_airlines,China Southern Airlines,中国南方航空,csair.com,汽车交通,中国,5,airline_china,true,pending,true,brandfetch/svglogo,中国航空公司组,csair.com,seed,csair.com,true,200,ok
china_eastern_airlines,China Eastern Airlines,中国东方航空,ceair.com,汽车交通,中国,5,airline_china,true,pending,true,brandfetch/svglogo,中国航空公司组,ceair.com,seed,ceair.com,true,200,ok
hainan_airlines,Hainan Airlines,海南航空,hainanairlines.com,汽车交通,中国,4,airline_china,true,pending,true,brandfetch/svglogo,中国航空公司组,hainanairlines.com,seed,hainanairlines.com,true,200,ok
emirates,Emirates,阿联酋航空,emirates.com,汽车交通,阿联酋,5,airline_global,true,pending,true,brandfetch,国际航空公司组,emirates.com,seed,emirates.com,true,200,ok
qatar_airways,Qatar Airways,卡塔尔航空,qatarairways.com,汽车交通,卡塔尔,5,airline_global,true,pending,true,brandfetch,国际航空公司组,qatarairways.com,seed,qatarairways.com,true,200,ok
singapore_airlines,Singapore Airlines,新加坡航空,singaporeair.com,汽车交通,新加坡,5,airline_global,true,pending,true,brandfetch,国际航空公司组,singaporeair.com,seed,singaporeair.com,true,200,ok
delta_air_lines,Delta Air Lines,达美航空,delta.com,汽车交通,美国,4,airline_global,true,pending,true,brandfetch,国际航空公司组,delta.com,seed,dalm.ec,false,200,ok
united_nations,United Nations,联合国,un.org,公共机构/教育,国际组织,5,public_orgs,true,pending,true,brandfetch,公共机构组,un.org,seed,unfoundation.org,false,200,ok
world_health_organization,World Health Organization,世界卫生组织,who.int,公共机构/教育,国际组织,5,public_orgs,true,pending,true,brandfetch,公共机构组,who.int,seed,who.int,true,200,ok
olympics,Olympics,奥林匹克,olympics.com,公共机构/教育,国际组织,5,public_orgs,true,pending,true,brandfetch,公共/体育组织组,olympics.com,seed,olympics.com,true,200,ok
red_cross,Red Cross,红十字会,redcross.org,公共机构/教育,国际组织,5,public_orgs,true,pending,true,brandfetch,公共机构组,redcross.org,seed,redcross.org,true,200,ok
tsinghua_university,Tsinghua University,清华大学,tsinghua.edu.cn,公共机构/教育,中国,5,education_china,unknown,pending,true,svglogo/official,高校组，校徽复杂，需确认是否适合题库,tsinghua.edu.cn,seed,thebodyshopspringfield.com,false,200,ok
peking_university,Peking University,北京大学,pku.edu.cn,公共机构/教育,中国,5,education_china,unknown,pending,true,svglogo/official,高校组，校徽复杂，需确认是否适合题库,pku.edu.cn,seed,pkusz.edu.cn,false,200,ok
fudan_university,Fudan University,复旦大学,fudan.edu.cn,公共机构/教育,中国,4,education_china,unknown,pending,true,svglogo/official,高校组，校徽复杂，需确认是否适合题库,fudan.edu.cn,seed,fudantoronto.ca,false,200,ok
zhejiang_university,Zhejiang University,浙江大学,zju.edu.cn,公共机构/教育,中国,4,education_china,unknown,pending,true,svglogo/official,高校组，校徽复杂，需确认是否适合题库,zju.edu.cn,seed,zufe.edu.cn,false,200,ok
